"status_2016","dem","initiative","mjballots","num"
2,0,1,2,0.000982850091531873
2,0,1,3,0.00677388999611139
2,1,0,0,0.0416457462124527
3,1,1,6,0.0674838323611766
2,0,1,2,0.100169816752896
0,0,0,0,0.133836685912684
2,1,0,0,0.141319706570357
2,1,0,0,0.17719929269515
2,1,1,3,0.178571620257571
2,1,0,0,0.187002848135307
0,0,0,0,0.188102475134656
2,1,0,0,0.194402083056048
0,0,1,3,0.202982865972444
0,0,1,3,0.206720024580136
0,1,0,0,0.246783116366714
1,0,1,4,0.290647125802934
0,1,0,0,0.325793241616338
2,1,0,0,0.328847400844097
3,1,1,7,0.359250129666179
0,0,0,0,0.366777705261484
0,0,0,0,0.385077399201691
1,0,1,0,0.394388692453504
3,1,1,3,0.413234589388594
2,1,1,0,0.424268989125267
0,0,0,0,0.441605231259018
2,1,0,0,0.446514525217935
2,1,0,0,0.465606404701248
0,0,0,0,0.473642432596534
2,1,0,0,0.48129454953596
1,0,0,0,0.495661583496258
2,0,1,8,0.515304876025766
3,1,1,8,0.534006287809461
0,1,0,0,0.541975544765592
0,0,0,0,0.5433708014898
2,1,0,0,0.566831597359851
1,0,1,0,0.604598119622096
3,1,1,6,0.609729672782123
2,1,1,3,0.632896161172539
0,0,1,0,0.64277258515358
0,0,0,1,0.652485145954415
3,1,1,5,0.777006526943296
2,1,1,2,0.783448346424848
2,1,0,0,0.787146748974919
2,0,0,0,0.799930398119614
2,1,0,0,0.808441216126084
0,0,1,1,0.836570245679468
3,1,1,7,0.836924200877547
0,0,1,0,0.854502245085314
0,0,0,0,0.874427175614983
