state,status_2018,dem,initiative,mjballots,num
Delaware,2,1,0,0,0.013444353
Mississippi,1,0,1,0,0.014853496
Idaho,0,0,1,0,0.035528709
South Carolina,0,0,0,0,0.046505001
Arizona,2,0,1,8,0.065500362
Oklahoma,2,0,1,3,0.07635053
Oregon,3,1,1,7,0.091265841
New Hampshire,2,1,0,0,0.101682653
Kansas,0,0,0,0,0.15783436
Tennessee,0,0,0,0,0.185126456
Indiana,0,0,0,0,0.20505758
Rhode Island,2,1,0,0,0.228117898
California,3,1,1,7,0.239201568
Wisconsin,0,1,0,0,0.262593378
Connecticut,2,1,0,0,0.268031216
Maryland,2,1,0,0,0.327494364
Arkansas,2,0,1,2,0.330070506
Massachusetts,3,1,1,3,0.333288756
South Dakota,0,0,1,3,0.353496155
Nevada,3,1,1,6,0.378913148
Missouri,1,0,1,4,0.37908426
North Dakota,2,0,1,2,0.401821208
Wyoming,0,0,1,0,0.446708856
Minnesota,2,1,0,0,0.515981288
Hawaii,2,1,0,0,0.565853804
Nebraska,1,0,1,0,0.58762292
Alabama,0,0,0,0,0.639929997
Washington,3,1,1,5,0.667418066
New York,2,1,0,0,0.697781803
Virginia,0,1,0,0,0.698905185
Montana,2,0,1,3,0.706279886
Kentucky,0,0,0,0,0.739882202
Florida,2,1,1,2,0.762653237
Louisiana,2,0,0,0,0.768053353
Texas,0,0,0,0,0.768337002
Pennsylvania,2,1,0,0,0.796819958
Ohio,2,1,1,1,0.8166651
Iowa,0,1,0,0,0.820652656
Colorado,3,1,1,6,0.844534655
Georgia,0,0,0,1,0.866130538
Utah,0,0,1,1,0.895861312
Vermont,3,1,0,0,0.907635158
North Carolina,1,0,0,0,0.910780896
Michigan,2,1,1,2,0.913156843
New Mexico,2,1,0,0,0.943666897
Illinois,2,1,1,0,0.953375449
Maine,3,1,1,4,0.970273641
New Jersey,2,1,0,0,0.979281753
West Virginia,2,0,0,0,0.992267853
